License_Number,Hospital_Name,Year,City,FICA,State_Unemployment_Compensation,Worker_s_Compensation,Group_Health_Insurance,Group_Life_Insurance,Pension___Retirement,Other_Employee_Benefits,Total_Employee_Benefits,Building_Rent_Lease,Equipment_Rent_Lease,Total_Rent_Lease,Fixed_Assets_Depreciation_Expense_Beginning_Balance_Land,Fixed_Assets_Additions_Land,Fixed_Assets_Retirememts_Land,Fixed_Assets_Ending_Balance_Land,Fixed_Assets_Beginning_Balance_Land_Improvements,Fixed_Assets_Additions_Land_Improvements,Fixed_Assets_Retirememts_Land_Improvements,Fixed_Assets_Ending_Balance_Land_Improvements,Fixed_Assets_Beginning_Balance_Buildings,Fixed_Assets_Additions_Buildings,Fixed_Assets_Retirememts_Buildings,Fixed_Assets_Ending_Balance_Buildings,Fixed_Assets_Beginning_Balance_Fixed_Equip_Building_Service,Fixed_Assets_Additions_Fixed_Equipment_Building_Service,Fixed_Assets_Retirememts_Fixed_Equipment_Building_Service,Fixed_Assets_Ending_Balance_Fixed_Equip_Building_Services,Fixed_Assets_Beginning_Balance_Fixed_Equipment_Other,Fixed_Assets_Additions_Fixed_Equipment_Other,Fixed_Assets_Retirememts_Fixed_Equipment_Other,Fixed_Assets_Ending_Balance_Fixed_Equipment_Other,Fixed_Assets_Beginning_Balance_Equipment_Major_Moveable,Fixed_Assets_Additions_Equipment_Major_Moveable,Fixed_Assets_Retirememts_Equipment_Major_Moveable,Fixed_Assets_Ending_Balance_Equipment_Major_Moveable,Fixed_Assets_Beginning_Balance_Equipment_Minor_Moveable,Fixed_Assets_Additions_Equipment_Minor_Moveable,Fixed_Assets_Retirememts_Equipment_Minor_Moveable,Fixed_Assets_Ending_Balance_Equipment_Minor_Moveable,Fixed_Assets_Beginning_Balance_Leasehold_Improvements,Fixed_Assets_Additions_Leasehold_Improvements,Fixed_Assets_Retirememts_Leasehold_Improvements,Fixed_Assets_Ending_Balance_Leasehold_Improvements,Fixed_Assets_Beginning_Balance_Construction_in_Progress,Fixed_Assets_Additions_Construction_in_Progress,Fixed_Assets_Retirememts_Construction_in_Progress,Fixed_Assets_Ending_Balance_Construction_in_Progress,Fixed_Assets_Total_Beginning_Balance,Fixed_Assets_Total_Additions,Fixed_Assets_Total_Retirememts,Fixed_Assets_Total_Ending_Balance,Accumulated_Depreciation_Beginning_Balance_Land,Accumulated_Depreciation_Provision_Land,Accumulated_Depreciation_Retirements_Land,Accumulated_Depreciation_Ending_Balance_Land,Accumulated_Depreciation_Beginning_Balance_Land_Improvements,Accumulated_Depreciation_Provision_Land_Improvements,Accumulated_Depreciation_Retirements_Land_Improvements,Accumulated_Depreciation_Ending_Balance_Land_Improvements,Accumulated_Depreciation_Beginning_Balance_Buildings,Accumulated_Depreciation_Provision_Buildings,Accumulated_Depreciation_Retirements_Buildings,Accumulated_Depreciation_Ending_Balance_Buildings,Accumulated_Depreciation_Beginning_Balance_Fixed_Equip_Building_Services,Accumulated_Depreciation_Provision_Fixed_Equip_Building_Services,Accumulated_Depreciation_Retirements_Fixed_Equip_Building_Services,Accumulated_Depreciation_Ending_Balance_Fixed_Equipment_Building_Services,Accumulated_Depreciation_Beginning_Balance_Fixed_Equip_Other,Accumulated_Depreciation_Provision_Fixed_Equip_Other,Accumulated_Depreciation_Retirements_Fixed_Equip_Other,Accumulated_Depreciation_Ending_Balance_Fixed_Equipment_Other,Accumulated_Depreciation_Beginning_Balance_Equipment_Major_Moveable,Accumulated_Depreciation_Provision_Equipment_Major_Moveable,Accumulated_Depreciation_Retirements_Equipment_Major_Moveable,Accumulated_Depreciation_Ending_Balance_Equipment_Major_Moveable,Accumulated_Depreciation_Beginning_Balance_Equipment_Minor_Moveable,Accumulated_Depreciation_Provision_Equipment_Minor_Moveable,Accumulated_Depreciation_Retirements_Equipment_Minor_Moveable,Accumulated_Depreciation_Ending_Balance_Equipment_Minor_Moveable,Accumulated_Depreciation_Beginning_Balance_Leasehold_Improvements,Accumulated_Depreciation_Provision_Leasehold_Improvements,Accumulated_Depreciation_Retirements_Leasehold_Improvements,Accumulated_Depreciation_Ending_Balance_Leasehold_Improvements,Accumulated_Depreciation_Beginning_Balance_Construction_in_Progress,Accumulated_Depreciation_Provision_Construction_in_Progress,Accumulated_Depreciation_Retirements_Construction_in_Progress,Accumulated_Depreciation_Ending_Balance_Construction_in_Progress,Accumulated_Depreciation_Total_Beginning_Balance,Accumulated_Depreciation_Total_Provision,Accumulated_Depreciation_Total_Retirements,Total_Ending_Balance,Total_Insurance_Malpractice,Total_Insurance_Other,Total_Insurance,License_Fees,Taxes_Other_than_Income,Other_Licenses___Taxes,Total_Licenses___Taxes,Total_Interest_Working_Cap,Total_Interest_Other,Total_Interest_Expense,Provision_for_Bad_Debt,Medicare_Contractuals_,Medicaid_Contractuals,Workers_Comp_,Other_Government_Programs,Negotiated_Rate_,Other_Contractuals,Total_Contractual_Adjustments,Number_of_Charity_Care_Patients_,Total_Charity_Care,Other_Deductions,Total_Deductions_from_Revenue
134,Island Hospital,2018,Anacortes,2914822,140315,468563,4952559,20412,1676393,173532,10346596,620771,208516,829287,4708577,0,0,4708577,2130330,0,0,2130330,70352371,3157262,3186,73512819,8808918,0,0,8808918,0,0,0,0,28995534,9466849,3248386,41710769,0,0,0,0,0,0,0,0,5868665,-5302131,0,566534,120864395,7321980,3251572,131437947,0,0,0,0,1583532,270764,0,1854296,23541051,1740083,0,25281134,6769087,365724,0,7134811,0,0,0,0,23273713,2433147,3220760,28927620,0,0,0,0,0,0,0,0,0,0,0,0,55167383,55167383,55167383,165502149,455520,212629,668149,54213,541786,0,595999,2030207,0,2030207,1535434,77964473,15831180,2038907,14618431,9609248,16009485,136071724,355,503872,0,138111030
138,Swedish Edmonds,2018,Edmonds,7018678,0,0,0,0,7400993,373196,14792867,10640389,205711,10846100,0,0,0,0,2551,0,0,2551,59843451,-8167,17825,59853109,0,0,0,0,2834534,-485409,0,2349125,54570728,786546,1412009,56769283,0,0,0,0,12414944,2748986,0,15163930,1148818,-647628,-11936,489254,130815026,2394328,1417898,134627252,0,0,0,0,825282,986788,0,1812070,6370199,2087048,-107397,8349850,0,0,0,0,535412,189604,0,725016,39396734,4149549,1410150,44956433,0,0,0,0,0,0,0,0,0,0,0,0,47127627,47127627,47127627,141382881,0,188275,188275,91397,10085469,0,10176866,0,2007177,2007177,10653273,311342395,123798150,-2723,-56379,153734393,42434738,631250574,581,14264017,0,656167864
139,HOLY FAMILY HOSPITAL,2018,Spokane,4355945,35107,-73887,0,0,1179212,49367,5545744,477038,641730,1118768,3196355,0,15250,3211605,2540480,0,0,2540480,93010442,3483373,1371401,97865216,0,0,0,0,6260636,462277,0,6722913,35467545,1506368,0,36973913,0,0,0,0,1095646,0,0,1095646,3140308,-625031,-142502,2372775,144711412,4826987,1244149,150782548,0,0,0,0,2992130,110248,0,3102378,51101057,2933537,1001400,55035994,0,0,0,0,5340705,146969,0,5487674,30896696,1107567,0,32004263,0,0,0,0,0,0,0,0,0,0,0,0,90330588,90330588,90330588,270991764,0,1270,1270,59888,7377066,0,7436954,0,2024893,2024893,1752311,220794942,112041304,6048674,14310519,56634075,899217,410728731,865,10031847,0,422512889
140,Kittitas Valley Healthcare,2018,Ellensburg,2702063,32752,103701,3932506,4379,2400055,187717,9363173,708915,718830,1427745,2324730,0,0,2324730,418230,0,0,418230,38655106,2107027,0,40762133,4609905,0,0,4609905,0,0,0,0,23966112,6866870,66657,30899639,0,0,0,0,0,0,0,0,4212310,4224965,8137795,16575070,74186393,13198862,8204452,95589707,0,0,0,0,413847,7564,0,421411,14234136,1353068,0,15587204,3439403,242569,0,3681972,0,0,0,0,19168717,1928416,66657,21163790,0,0,0,0,0,0,0,0,0,0,0,0,37256103,37256103,37256103,111768309,234344,223355,457699,155529,579455,0,734984,0,405804,405804,3112296,24273692,12906689,0,0,0,22236066,59416447,0,955198,763375,64247316
141,Columbia County Public Hospital District No. 1,2018,Dayton,621140,-2110,108395,658723,0,121462,27699,1535309,20050,174114,194164,204226,0,0,204226,452954,17993,0,470947,9980543,281756,0,10262299,0,0,0,0,6854019,117732,0,6971751,3663037,107663,0,3770700,0,0,0,0,0,0,0,0,296339,132955,417481,846775,21451118,658099,417481,22526698,0,0,0,0,286160,22819,0,308979,4232415,473515,0,4705930,0,0,0,0,5485962,313018,0,5798980,2253534,378199,0,2631733,0,0,0,0,0,0,0,0,0,0,0,0,12258071,12258071,12258071,36774213,84858,59797,144655,24414,148216,0,172630,429191,32356,461547,961836,789150,706506,0,0,0,4525182,6020838,0,145726,0,7128400
142,St Michael Medical Center,2018,Silverdale,8902467,188006,1902232,15622616,46326,4596688,252913,31511248,3707938,1995839,5703777,10245719,0,0,10245719,2319120,-1,0,2319119,105348137,-5620933,0,99727204,8822088,5620922,107173,14550183,4304098,226265,26918,4557281,117058770,6782330,9347757,133188857,0,0,0,0,18351716,151718,5309275,23812709,52220927,84487567,550178,137258672,318670575,91647868,15341301,425659744,0,0,0,0,773664,-349137,0,424527,19918814,11275027,0,31193841,2269188,1450895,21887,3741970,1619318,590053,4888,2214259,66367351,12663553,5064426,84095330,0,0,0,0,9938595,1232451,3195329,14366375,0,0,0,0,100886930,100886930,100886930,302660790,3105000,271684,3376684,0,12119863,0,12119863,0,810177,810177,8806181,911085757,323267867,0,0,0,338310687,1572664311,9659,14138590,11337238,1606946320
145,PeaceHealth St Joseph Medical Center,2018,Bellingham,13979252,351787,2487132,25092668,125352,13363233,1244011,56643435,4976886,627616,5604502,8860024,0,0,8860024,9805703,0,0,9805703,180351182,372000,0,180723182,0,0,0,0,78715487,1213479,0,79928966,103125572,11375289,11728181,126229042,0,0,0,0,2819591,104729,0,2924320,517708,5654586,0,6172294,384195267,18720083,11728181,414643531,0,0,0,0,6789503,362370,0,7151873,108155326,5568039,0,113723365,0,0,0,0,38645846,3889682,0,42535528,76506795,8085612,11640088,96232495,0,0,0,0,1839080,180968,0,2020048,0,0,0,0,231936550,231936550,231936550,695809650,3675074,866977,4542051,331663,20120610,0,20452273,0,232387,232387,15706891,558380584,218941402,6415050,20796942,75671828,0,880205806,24045,22941742,11272297,930126736
147,Mid Valley Hospital,2018,Omak,1005798,20569,251850,2255325,37129,168411,30108,3769190,2600,381860,384460,146306,0,0,146306,1137603,0,9588,1147191,7762021,161599,21690,7945310,5553719,309593,0,5863312,322224,1859,0,324083,8164031,111508,64278,8339817,0,0,0,0,0,0,0,0,20313,703403,0,723716,23106217,1287962,95556,24489735,0,0,0,0,731212,76341,9588,817141,3982685,314383,9496,4306564,2322429,288105,10114,2620648,174714,13951,0,188665,5965441,609001,40260,6614702,0,0,0,0,0,0,0,0,0,0,0,0,13176481,13176481,13176481,39529443,394755,63600,458355,25746,164476,0,190222,312018,0,312018,712101,12533810,11743888,1182150,677598,6160130,0,32297576,578,920102,831606,34761385
148,Kindred Hospital Seattle - Northgate,2018,Seattle,1217319,75537,330579,746304,67712,16118,155766,2609335,0,392088,392088,3225342,3225880,0,6451222,0,0,0,0,41895358,0,33996609,75891967,0,0,0,0,0,0,0,0,5127869,0,4211510,9339379,1489580,0,1398392,2887972,354227,0,339234,693461,0,0,0,0,52092376,3225880,39945745,95264001,0,0,0,0,144501,0,141643,286144,17389656,0,17238312,34627968,0,0,0,0,0,0,0,0,3706699,0,3605715,7312414,1211522,0,1198977,2410499,56203,0,52637,108840,0,0,0,0,22508581,22508581,22508581,67525743,120920,85585,206505,23250,1083127,0,1106377,0,4453,4453,3182256,44908612,2498772,0,0,0,46639512,94046896,0,0,0,97229152
150,Douglas Lincoln and Okanogan Public Hospital Di,2018,Grand Coulee,898192,4534,74366,1861552,0,237622,613222,3689488,2386520,472662,2859182,147805,0,0,147805,2700469,0,0,2700469,21913644,0,0,21913644,0,0,0,0,714858,0,0,714858,8443952,52582,91890,8588424,0,0,0,0,0,0,0,0,0,0,0,0,33920728,52582,91890,34065200,0,0,0,0,1556386,138167,0,1694553,8294485,1041136,0,9335621,0,0,0,0,544924,50336,0,595260,7422488,274431,87179,7784098,0,0,0,0,0,0,0,0,0,0,0,0,17818283,17818283,17818283,53454849,185987,79491,265478,112168,164957,0,277125,0,1357808,1357808,828820,11060122,5746476,0,0,0,6155526,22962124,59,240018,0,24030962
152,Public Hospital District No 1 of Mason County WA,2018,Shelton,3286524,110526,421164,7080502,102493,2413934,44966,13460109,166983,568839,735822,2015497,0,0,2015497,2729456,0,0,2729456,36186805,30140,183030,36399975,21292736,11932,0,21304668,1613835,137101,0,1750936,32697075,1690705,539904,34927684,0,0,0,0,42847,1107868,0,1150715,1791507,6953601,2589652,11334760,98369758,9931347,3312586,111613691,0,0,0,0,1549494,180429,0,1729923,16339971,1516542,183030,18039543,8461727,1283505,0,9745232,1393981,208258,0,1602239,24945845,3212590,533471,28691906,0,0,0,0,36777,87845,0,124622,0,0,0,0,52727795,52727795,52727795,158183385,388146,234610,622756,0,627132,0,627132,0,891551,891551,4316744,59370627,40145711,2076846,0,18711831,0,120305015,1768,3476258,2210751,130308768
153,Whitman Hospital and Medical Clinics,2018,Colfax,842866,21638,73137,1561339,15917,516498,80400,3111795,0,115198,115198,397262,0,0,397262,464931,0,13930,478861,37341793,235704,0,37577497,0,0,0,0,3096622,655876,10520,3763018,11193716,523533,1551199,13268448,0,0,0,0,0,0,0,0,130835,1411075,1447149,2989059,52625159,2826188,3022798,58474145,0,0,0,0,404444,16491,13930,434865,16102660,1742827,0,17845487,0,0,0,0,1744167,430472,10500,2185139,8461762,1045608,1455548,10962918,0,0,0,0,0,0,0,0,0,0,0,0,26713033,26713033,26713033,80139099,133159,29095,162254,0,226688,0,226688,0,367716,367716,587616,7154831,3105759,0,0,2699821,0,12960411,65,183690,11994,13743711
155,Valley Medical Center,2018,Renton,20716638,667276,1596727,36319356,327139,14853432,1432230,75912798,9672062,1188896,10860958,13413733,0,0,13413733,18852304,6958,544,18859806,418596908,23668078,7499999,449764985,0,0,0,0,23632565,589173,1522522,25744260,180615160,13345112,27450824,221411096,21922782,1668840,2451931,26043553,19231445,6945873,3581890,29759208,29776963,46871693,32056746,108705402,726041860,93095727,74564456,893702043,0,0,0,0,11784399,359280,544,12144223,169019937,18244768,5329805,192594510,0,0,0,0,21786686,308428,1522522,23617636,136595002,16059394,27313968,179968364,13818463,2047289,2443289,18309041,10467947,2851121,1699159,15018227,0,0,0,0,363472434,363472434,363472434,1090417302,5043780,880554,5924334,1269282,8452804,0,9722086,0,0,0,20549829,518072946,319179974,15791925,11548697,355652772,144764793,1365011107,11724,25050647,12666366,1423277949
157,St. Luke's Rehabilitation Institute,2018,Spokane,2245040,96014,-42950,0,0,1497408,3709082,7504594,550308,331773,882081,622797,0,0,622797,587456,0,0,587456,21162488,0,0,21162488,6340258,0,4026,6344284,979108,0,0,979108,5033835,82816,0,5116651,686414,0,0,686414,0,0,0,0,0,20719,0,20719,35412356,103535,4026,35519917,0,0,0,0,578318,4449,0,582767,12096619,761329,0,12857948,4366811,132371,0,4499182,953284,9193,0,962477,3737939,257436,-24816,3970559,686414,0,0,686414,0,0,0,0,0,0,0,0,22419385,22419385,22419385,67258155,0,13364,13364,0,863044,0,863044,0,11329,11329,2348863,33221261,17294873,0,0,0,18857157,69373291,0,916085,0,72638239
158,Cascade Medical Center,2018,Leavenworth,698331,6906,130380,1080039,6532,169963,280888,2373039,13500,50401,63901,522015,0,0,522015,986207,0,0,986207,10367345,0,0,10367345,0,0,0,0,8339951,13339,0,8353290,4485963,63408,2572,4551943,0,0,0,0,0,0,0,0,0,68158,0,68158,24701481,144905,2572,24848958,0,0,0,0,565324,72515,0,637839,4601432,519155,0,5120587,0,0,0,0,3711856,503059,0,4214915,3664646,318255,2572,3985473,0,0,0,0,0,0,0,0,0,0,0,0,12543258,12543258,12543258,37629774,87238,103017,190255,67482,72772,0,140254,454325,0,454325,693049,4001731,1640729,0,0,0,2098931,7741391,118,318888,-152043,8601285
159,Providence St. Peter Hospital,2018,Olympia,13578688,305721,-214698,0,0,3658520,387477,17715708,587565,3904929,4492494,3679314,0,0,3679314,4893490,65975,0,4959465,225153828,2152709,49033550,276340087,0,0,0,0,43904096,189881,0,44093977,114359011,3392759,-410153,117341617,0,0,0,0,1558898,0,0,1558898,2947392,54148,-944658,2056882,396496029,5855472,47678739,450030240,0,0,0,0,5262387,158886,0,5421273,135631962,7716386,49033550,192381898,0,0,0,0,41166577,507174,0,41673751,97778751,4952505,0,102731256,0,0,0,0,0,0,0,0,0,0,0,0,279839677,279839677,279839677,839519031,0,4827,4827,86452,18414107,0,18500559,309685,2092077,2401762,3596106,933159732,260452930,13211488,50702468,243680133,8486147,1509692898,1663,30953437,0,1544242441
161,Kadlec Regional Medical Center,2018,Richland,17054023,372917,-293106,0,0,4744017,1009993,22887844,15470912,2507060,17977972,13772337,0,4263229,18035566,0,0,0,0,175421606,175104,177393,175774103,0,0,0,0,22227447,700525,0,22927972,69715089,15902379,665741,86283209,0,0,0,0,4395063,32222,0,4427285,17475152,-5626960,-2252947,9595245,303006694,11183270,2853416,317043380,0,0,0,0,1161529,419347,49963,1630839,15202022,5351211,80646,20633879,0,0,0,0,2397207,1266697,0,3663904,35735298,10628992,144908,46509198,0,0,0,0,0,0,0,0,0,0,0,0,54496056,54496056,54496056,163488168,0,17342,17342,693935,18471973,0,19165908,444055,11186955,11631010,20576846,575428071,310929296,16093067,17629123,287631053,7130630,1214841240,2802,33479529,0,1268897615
162,Sacred Heart Medical Center,2018,Spokane,21745677,589312,-337378,47543,0,6382879,408697,28836730,3529736,3731134,7260870,14599711,0,4395669,18995380,19916924,1370897,8302,21296123,359642804,1552521,2503958,363699283,0,0,0,0,12990567,608759,0,13599326,196097173,4390410,17718,200505301,0,0,0,0,258775,0,0,258775,2487759,1949487,-774817,3662429,605993713,9872074,6150830,622016617,0,0,0,0,19732764,228961,8302,19970027,220248767,10289625,2281526,232819918,0,0,0,0,8525544,898514,0,9424058,167528129,7916236,17718,175462083,0,0,0,0,0,0,0,0,0,0,0,0,416035204,416035204,416035204,1248105612,0,100,100,233029,26874540,0,27107569,79167,7292817,7371984,4202071,805820195,429018172,10061287,59481676,274522157,10310355,1589213842,1635,27382907,0,1620798820
164,EvergreenHealth Kirkland / King Country Public Ho,2018,Kirkland,23932113,490840,1384628,40289598,210615,18198152,277880,84783826,12694544,3498539,16193083,4913660,0,0,4913660,14664226,0,335351,14999577,334117953,4039748,1430447,339588148,127768533,3478488,645583,131892604,879852,0,764788,1644640,278214735,14672490,6365908,299253133,0,0,0,0,35552335,965522,1048463,37566320,9698463,27737931,23156249,60592643,805809757,50894179,33746789,890450725,0,0,0,0,11705853,402883,335351,12444087,152884284,11481271,1430447,165796002,87809266,4417501,645583,92872350,868772,5970,764788,1639530,207146873,17352558,6365908,230865339,0,0,0,0,18298741,2132777,1048463,21479981,0,0,0,0,478713789,478713789,478713789,1436141367,2598029,946943,3544972,735453,6696265,0,7431718,8026275,0,8026275,21134846,571824745,119270597,12294110,5088008,452545208,9163156,1170185824,2525,6527444,3284412,1201132526
165,Lake Chelan Health,2018,Chelan,1170538,7189,39720,1475571,0,636282,53328,3382628,208506,204028,412534,4168630,0,0,4168630,619271,0,0,619271,5141340,0,0,5141340,948945,0,0,948945,0,0,0,0,8040470,391621,272140,8704231,0,0,0,0,0,0,0,0,954417,266470,0,1220887,19873073,658091,272140,20803304,0,0,0,0,392232,43247,0,435479,4042799,140917,0,4183716,839169,15705,0,854874,0,0,0,0,6292021,544020,272140,7108181,0,0,0,0,0,0,0,0,0,0,0,0,11566221,11566221,11566221,34698663,243851,38164,282015,19175,150815,0,169990,301552,12066,313618,607795,8854571,5878097,0,0,6309477,0,21042145,169,0,15785,21665725
170,PeaceHealth Southwest Medical Center,2018,Vancouver,14727778,288127,1700439,24273568,124148,12775641,1114332,55004033,6144786,1626447,7771233,42128547,0,0,42128547,6533764,0,0,6533764,288329234,0,0,288329234,0,0,0,0,28723270,308270,0,29031540,114230333,47295072,131013937,292539342,0,0,0,0,12509112,0,0,12509112,1537656,17056229,0,18593885,493991916,64659571,131013937,689665424,0,0,0,0,5332314,196974,0,5529288,143245096,9190045,0,152435141,0,0,0,0,24890082,526384,0,25416466,26486835,54964558,131000011,212451404,0,0,0,0,3549014,332670,0,3881684,0,0,0,0,203503341,203503341,203503341,610510023,4472541,1374786,5847327,280639,19941023,0,20221662,0,726056,726056,16767175,641278511,296812320,0,20420585,200015092,0,1158526508,7741,28098913,50290628,1253683224
172,Public Hospital District #1-A of Whitman County,2018,Pullman,2149377,3189,83443,2840783,22551,946966,387905,6434214,124082,275601,399683,1813305,0,0,1813305,3696545,12397,0,3708942,14929106,232413,38376,15199895,14400163,228921,11185,14640269,1007816,33397,0,1041213,15644219,1023198,1161540,17828957,0,0,0,0,0,0,0,0,365480,2969047,1055611,4390138,51856634,4499373,2266712,58622719,0,0,0,0,1651679,103535,0,1755214,4101143,294020,38376,4433539,10362163,770840,11185,11144188,896132,33960,0,930092,9845689,1958390,1160029,12964108,0,0,0,0,0,0,0,0,0,0,0,0,26856806,26856806,26856806,80570418,167297,103689,270986,0,711805,2009,713814,461578,231615,693193,1413873,20331754,7722279,1168022,702896,0,23076061,53001012,657,1128013,789711,56332609
175,Mary Bridge Children's Hospital,2018,Tacoma,5654553,0,0,8992346,0,0,4027213,18674112,2475213,25084,2500297,774202,0,0,774202,416167,56240,0,472407,135924275,1318249,0,137242524,0,0,0,0,3686122,144311,0,3830433,29081305,2293701,0,31375006,0,0,0,0,2467885,2729030,0,5196915,0,0,0,0,172349956,6541531,0,178891487,0,0,0,0,373041,9086,0,382127,41728554,4273880,0,46002434,0,0,0,0,2855292,178857,0,3034149,20079232,1756748,247916,22083896,0,0,0,0,1455066,432058,0,1887124,0,0,0,0,66491185,66491185,66491185,199473555,2011688,0,2011688,142389,3263976,0,3406365,0,2951285,2951285,2458576,406302,383157007,120131,34360780,0,97325268,515369488,2763,8802487,6664524,533295075
176,Tacoma General / Allenmore,2018,Tacoma,18387133,0,0,31561131,0,0,13911877,63860141,3449641,1176931,4626572,5728063,0,0,5728063,3311378,0,0,3311378,606888566,841449,0,607730015,0,0,0,0,34077378,4070491,0,38147869,207729459,7229412,0,214958871,0,0,0,0,11547702,0,907328,12455030,0,0,0,0,869282546,12141352,907328,882331226,0,0,0,0,1539250,218360,0,1757610,282906554,15273711,0,298180265,0,0,0,0,29507761,1161861,0,30669622,165637807,8756186,-7715119,166678874,0,0,0,0,9336356,38666,0,9375022,0,0,0,0,488927728,488927728,488927728,1466783184,7191221,0,7191221,456562,7662573,0,8119135,0,10341486,10341486,12741211,1091913838,703959464,31680594,68860182,0,500402521,2396816599,12984,77586075,24946252,2512090137
180,VALLEY HOSPITAL AND MEDICAL CENTER,2018,Spokane,3483885,0,15937,7002138,0,852386,661448,12015794,0,787440,787440,8979210,0,0,8979210,766764,0,0,766764,31013046,1169674,0,32182720,986580,57583,0,1044163,0,0,0,0,10797512,3411695,438737,14647944,0,0,0,0,135000,0,0,135000,0,0,0,0,52678112,4638952,438737,57755801,0,0,0,0,54769,109538,0,164307,775194,1575570,0,2350764,41108,85896,0,127004,0,0,0,0,1170793,2807007,92059,4069859,0,0,0,0,9315,18631,0,27946,0,0,0,0,2051179,2051179,2051179,6153537,1019357,0,1019357,8752,-198664,0,-189912,0,3067282,3067282,5706270,166365593,7855148,9505159,404122,0,371989578,556119600,2561,6204837,3244406,571275113
183,Auburn Medical Center,2018,Auburn,4888004,0,0,8713695,0,0,3914390,17516089,218017,665517,883534,10659152,283,0,10659435,15357,9873,0,25230,106834141,21495284,0,128329425,0,0,0,0,1533930,82500,0,1616430,33237202,5629624,0,38866826,0,0,0,0,2374711,64154,0,2438865,0,0,0,0,154654493,27281718,0,181936211,0,0,0,0,6271,2564,0,8835,19948140,6122218,-787938,25282420,0,0,0,0,445171,162429,0,607600,22075706,1783667,-2096101,21763272,0,0,0,0,604371,205738,0,810109,0,0,0,0,43079659,43079659,43079659,129238977,1127508,0,1127508,51809,1841246,0,1893055,0,3017453,3017453,5163307,353035634,146887708,6063000,7614024,0,77175475,590775841,3074,23941239,15000727,634881114
186,Grays Harbor Count,2018,Elma,993783,11783,159926,2305676,185168,213475,311524,4181335,72466,31080,103546,1652029,0,0,1652029,364672,0,0,364672,20548798,0,0,20548798,0,0,0,0,0,0,0,0,7882163,107302,0,7989465,0,0,0,0,0,0,0,0,4094819,21341282,0,25436101,34542481,21448584,0,55991065,0,0,0,0,147190,42233,0,189423,7283317,1126354,0,8409671,0,0,0,0,0,0,0,0,3430767,1410015,0,4840782,0,0,0,0,0,0,0,0,0,0,0,0,10861274,10861274,10861274,32583822,112890,14907,127797,73015,0,0,73015,1715380,0,1715380,2599337,18036190,19250989,0,0,0,8851027,46138206,2481,1260116,520754,50518413
191,Providence Centralia Hospital,2018,Centralia,3851413,144079,-60066,0,0,1017898,189848,5143172,2517956,715639,3233595,1127060,0,0,1127060,1145175,0,0,1145175,47565455,625352,14994991,63185798,0,0,0,0,12449147,4303,0,12453450,40603255,752696,-3400,41352551,0,0,0,0,465236,0,0,465236,394216,328301,-265421,457096,103749544,1710652,14726170,120186366,0,0,0,0,1443445,47888,0,1491333,31773949,1623160,14991590,48388699,0,0,0,0,10624650,304663,0,10929313,30709400,2330411,0,33039811,0,0,0,0,0,0,0,0,0,0,0,0,74551444,74551444,74551444,223654332,0,4325,4325,40599,4169623,0,4210222,0,558645,558645,2048295,305223898,139414839,3634815,13044626,64261152,3748222,529327552,1604,14463740,0,545839587
193,MOUNT CARMEL HOSPITAL,2018,Colville,1201396,85000,-21232,0,0,354949,14479,1634592,60396,141838,202234,169015,0,0,169015,3486637,0,0,3486637,38077384,1959850,95561,40132795,0,0,0,0,1039567,7209,0,1046776,13192741,489144,0,13681885,0,0,0,0,26134,0,0,26134,1441118,-1433945,-77511,-70338,57432596,1022258,18050,58472904,0,0,0,0,3448516,28339,0,3476855,14367857,1048305,95561,15511723,0,0,0,0,684972,66056,0,751028,11086746,545081,0,11631827,0,0,0,0,0,0,0,0,0,0,0,0,29588091,29588091,29588091,88764273,0,0,0,23781,335962,0,359743,0,1194031,1194031,340543,31993581,16302104,978087,2355707,3866604,295752,55791835,434,1857229,0,57989607
194,PROVIDENCE ST JOSEPH HOSPITAL,2018,Chewelah,688003,-1851,-12539,0,0,178814,11378,863805,0,139612,139612,164422,0,0,164422,274692,0,0,274692,5537107,0,31637,5568744,0,0,0,0,2102471,0,0,2102471,6423323,76736,131471,6631530,0,0,0,0,0,0,0,0,21857,-21857,-126,-126,14523872,54879,162982,14741733,0,0,0,0,232241,8019,0,240260,4331096,139654,31681,4502431,0,0,0,0,1988927,39799,0,2028726,5716014,205595,131471,6053080,0,0,0,0,0,0,0,0,0,0,0,0,12268278,12268278,12268278,36804834,0,75,75,15301,137248,0,152549,0,187954,187954,172841,12689841,6108591,270633,537022,1152263,54456,20812806,172,925393,0,21911040
195,Snoqualmie Valley Hospital,2018,Snoqualmie Vall,1181408,43076,132286,1908087,13378,143761,-16862,3405134,243008,1690086,1933094,14631178,0,0,14631178,11955882,0,0,11955882,31774155,255056,0,32029211,6064810,0,0,6064810,0,0,0,0,6014831,240262,0,6255093,0,0,0,0,0,0,0,0,401252,0,401252,802504,70842108,495318,401252,71738678,0,0,0,0,2063526,765011,0,2828537,5332795,1680122,0,7012917,1129279,423511,0,1552790,4119693,411974,0,4531667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12645293,12645293,12645293,37935879,112780,30189,142969,46848,194143,0,240991,0,5459715,5459715,674787,5213329,1353446,182991,86413,6163119,0,12999298,0,592414,-92360,14174139
